airport_icao,le_ident,he_ident,length_ft,length_m,width_ft,width_m,surface,lighted,closed,le_latitude,le_longitude,le_elevation_ft,le_heading_deg,le_displaced_threshold_ft,le_displaced_threshold_m,he_latitude,he_longitude,he_elevation_ft,he_heading_deg,he_displaced_threshold_ft,he_displaced_threshold_m,centerline_bearing_deg
KA39,4,22,4751,1448.1,50,15.2,asphalt,true,false,32.9864998,-111.9260025,,41,0,0,32.9967995,-111.9150009,,221,0,0,41.9
KA50,08,26,3440,1048.5,60,18.3,gvl,false,false,38.8744011,-104.4160004,,90,0,0,38.8744011,-104.4039993,,270,0,0,90
KA50,17L,35R,4500,1371.6,40,12.2,gvl,false,false,,,,180,0,0,,,,360,0,0,
KA50,17R,35L,4500,1371.6,42,12.8,asphalt,true,false,38.8806,-104.4100037,,180,0,0,38.8684998,-104.4100037,,360,0,0,180
KAAA,03,21,4000,1219.2,70,21.3,asphalt,true,false,40.1533012,-89.3399963,593,35.3,0,0,40.1623001,-89.3317032,594,215.3,0,0,35.2
KAAA,14,32,3021,920.8,135,41.1,grs,false,false,40.1632996,-89.3370972,597,144.4,307,93.6,40.156601,-89.3308029,597,324.4,0,0,144.3
KAAF,06,24,5271,1606.6,150,45.7,concrete,true,false,29.7224999,-85.0372009,20,60,0,0,29.7294006,-85.0233002,20,240,0,0,60.2
KAAF,14,32,5425,1653.5,150,45.7,concrete,true,false,29.732901,-85.034897,20,135,0,0,29.7225,-85.023003,19,315,400,121.9,135.2
KAAF,18,36,5251,1600.5,150,45.7,concrete,false,false,29.7364006,-85.0231018,16,180,300,91.4,29.7220001,-85.023201,20,360,0,0,180.3
KAAO,18,36,6101,1859.6,100,30.5,concrete,true,false,37.7559013,-97.219902,1401,187,0,0,37.7392998,-97.2223969,1421,7,0,0,186.8
KAAS,05,23,5004,1525.2,75,22.9,asphalt,true,false,37.3538017,-85.3160019,871,49.8,0,0,37.3627014,-85.302803,921,229.8,0,0,49.7
KAAT,03,21,2506,763.8,60,18.3,asphalt,true,false,41.4804993,-120.5690002,4359,46,280,85.3,41.4860992,-120.560997,4374,226,0,0,47
KAAT,13,31,4228,1288.7,50,15.2,asphalt,true,false,41.4878006,-120.5699997,4366,148.4,210,64,41.4777985,-120.5619965,4374,328.4,0,0,149.1
